星5段階評価,店名,ジャンル,お問い合わせ,予約可否,住所,交通手段,営業時間,Dinner,Lunch,支払い方法,サービス料・チャージ
3.18,焼きあご塩らー麺 たかはし 北千住店,ラーメン,03-6806-2380,予約不可,東京都足立区千住旭町4-13 COTED'AZUR B棟 1F,JR「北千住駅」東口 徒歩２分東京メトロ日比谷線・千代田線「北千住駅」東口 徒歩２分東武鉄道伊勢崎線「北千住駅」東口 徒歩２分つくばエクスプレス「北千住駅」東口 徒歩２分 北千住駅から160m,11:00 - 23:00 L.O. 22:50 ■ 定休日無休（年末年始を除く）,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,
3.48,スタンド バイ ミー（STAND BY ME）,つけ麺、ラーメン,不明の為情報お待ちしております,予約不可,東京都足立区千住中居町17-14 1F,北千住駅西口7分。JR常磐線、東武スカイツリーライン＆伊勢崎線、東京メトロ日比谷＆千代田線、つくばエクスプレス各線から、駅前きたろーど1010(センジュ)直進、国道4号交差点わたり左手沿い。 北千住駅から508m,月・火・木・金・土・日 11:00 - 15:00 17:30 - 21:30 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,なし。
3.50,横浜ラーメン 武蔵家 北千住店,ラーメン、つけ麺,03-3870-7410,予約不可,東京都足立区千住旭町40-25 吉田ビル 1F,北千住駅から166m,月・火・水・木・金・土 06:00 - 22:00 日 定休日 2024年12月30日から2025年1月5日 休み 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,
3.06,日高屋 北千住西口駅前店,ラーメン、中華料理、食堂,03-3870-9177,予約不可,東京都足立区千住2-62 根岸ビル1F,北千住駅から徒歩2分ほど 北千住駅から86m,月・火・水・木・金・土・日・祝日 05:00 - 02:00 金（祝前日）～月（祝後日）2:00まで連続営業 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999",～￥999,カード可 （VISA、Master、JCB、AMEX、Diners、UnionPay） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY、Alipay、WeChat Pay）,
3.41,東池袋 大勝軒 ○高屋（まるたかや）,ラーメン、つけ麺,03-3870-9555,予約不可,東京都足立区千住3-12,JR常磐線・東京メトロ(千代田線・日比谷線)・東武線・つくばEX・「北千住駅」 北千住駅から542m,月・火・木・金・土・日 11:00 - 15:00 17:30 - 00:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,
3.07,東京油組総本店 北千住組,油そば・まぜそば,03-5284-9368,予約不可,東京都足立区千住3-75-8,北千住から徒歩3分くらい。旧日光街道の宿場町通り 北千住駅から245m,11:00 - 23:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,～￥999,"￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,
3.09,らぁ麺 はやし田 北千住店,ラーメン,03-5284-8388,予約不可,東京都足立区千住2-55 Sハウス１階２階,北千住駅から194m,11:00〜23:30無休 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,
3.42,雲林坊 北千住東口店,担々麺、中華料理,03-5284-8077,予約不可,東京都足立区千住旭町41-2,北千住駅東口のエスカレーターを降りて目の前 北千住駅から76m,火・水・木・金 11:30 - 23:00 L.O. 22:30 土・日・祝日 11:00 - 22:30 L.O. 22:00 月 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済可 （PayPay）,
3.64,千住 チャーシュー軒,ラーメン,非公開,予約不可,東京都足立区千住2-64-1 北千住Village 1F,北千住駅から104m,月・火・水・木・土・日 11:00 - 04:00 金 11:00 - 07:00 ■営業時間am11:00-am4:00※毎週金曜日のみam11:00-am7:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,
3.21,らあめん 雅知（ガチ）,ラーメン,不明の為情報お待ちしております,予約不可,東京都足立区千住3-55 このお店は「足立区伊興本町1-10-1」から移転しています。 ※移転前の情報は最新のものとは異なります。 移転前の店舗情報を見る,北千住駅から428m,火・水・木・金・土 11:30 - 14:30 18:00 - 21:00 日 11:30 - 14:30 月 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,Non-Info,～￥999,カード不可 電子マネー不可 QRコード決済不可,
