星5段階評価,店名,ジャンル,予約・ お問い合わせ,予約可否,住所,交通手段,営業時間,Dinner,Lunch,支払い方法,サービス料・チャージ,領収書（適格簡易請求書）
3.30,おさかな心技体,居酒屋、海鮮,050-5456-5071,予約可,東京都足立区千住2-62 さつき壮 1F,北千住駅西口徒歩2分 北千住駅から111m,月・火・木・金・土・日 15:00 - 00:00 L.O. 料理23:00 ドリンク23:30 水 定休日,"￥4,000～￥4,999",Non-Info,カード不可 電子マネー不可 QRコード決済不可,,
3.31,やきとんうまいもん横丁 まるたか 北千住店,居酒屋、もつ焼き、焼き鳥,050-5570-2174,予約可 一部貸切は20名様以上、全席貸切は35名様以上で承ります。お電話でご相談ください。,東京都足立区千住2-65 須田ビル 1F,ＪＲ常磐線 北千住駅 西口 地下鉄千代田線 北千住駅 西口 北千住駅から168m,17:00 - 23:30 L.O. 23:00 ■ 定休日不定休,"￥3,000～￥3,999",Non-Info,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,お通し352円（税込）,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T4011701014820 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。
3.43,北千住 とんとん（【旧店名】韓国家庭料理 明洞）,韓国料理、焼肉、居酒屋,050-5869-5057,予約可 ※コース料理をご予約のお客様は一日前までにお問い合わせください。,東京都足立区千住1-33-1,JR・私鉄・地下鉄各線「北千住」駅から徒歩1分。地下鉄1番出口より徒歩10秒 北千住駅から232m,月・火・水・木・金 11:00 - 15:00 17:00 - 00:00 土・日・祝日 11:00 - 00:00 年末年始休まず営業します！12月28日~~2025年1月5日迄通し営業します！■ 定休日年中無休,"￥4,000～￥4,999","￥1,000～￥1,999",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,,
3.39,がぶ飲みワインと肉 ビストロ千住MEAT（センジュミート【旧店名】がぶ飲みワインと肉 千住MEAT）,バル、居酒屋、イタリアン,050-5592-5985,予約可,東京都足立区千住2-36-8,ＪＲ常磐線 北千住駅 西口 徒歩3分東武伊勢崎線（東武スカイツリーライン） 北千住駅 西口 徒歩3分地下鉄千代田線 北千住駅 徒歩3分 北千住駅から260m,月・火・水・木 17:00 - 23:00 金・祝前日 17:00 - 23:30 土 14:00 - 23:30 日・祝日 14:00 - 23:00 10月14日は店休となります。,"￥5,000～￥5,999",Non-Info,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可,420円（税込）,
3.09,かつぺい 屋根裏（【旧店名】痛風牡蠣と海鮮居酒屋 ゑびす商店）,居酒屋,03-6806-1580,予約可,東京都足立区千住2-61 水野ビル 3F,地下鉄千代田線 北千住駅 徒歩1分ＪＲ常磐線 北千住駅 徒歩2分 北千住駅から133m,月・火・水・木・金・祝前日・祝後日 17:00 - 00:00 L.O. 料理23:00 ドリンク23:30 土 13:00 - 00:00 L.O. 料理23:00 ドリンク23:30 日・祝日 13:00 - 23:00 L.O. 料理22:00 ドリンク22:30,"￥3,000～￥3,999",Non-Info,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可 QRコード決済可 （PayPay）,,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T4011801038249 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。
3.36,ジャギ飯店（【旧店名】ジャギ飯店×蒸気怪人煙管）,居酒屋、中華料理、餃子,050-5593-7531,予約可,東京都足立区千住1-39-8 ときわビル 3F,北千住駅西口徒歩3分 北千住駅から198m,月・火・水・木・日・祝日 16:30 - 23:30 L.O. 料理22:15 ドリンク23:00 金・土・祝前日 16:30 - 00:00 L.O. 料理22:45 ドリンク23:30 祝後日 16:30 - 23:30 L.O. 料理22:00 ドリンク23:00,"￥5,000～￥5,999",Non-Info,カード可 （VISA、Master、JCB、AMEX） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T7011801028049 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。
3.06,魚と牡蠣 汐彩よりみち 北千住店,居酒屋、海鮮、牛タン,050-5456-3440,予約可 【コース】（1名あたり）2日前キャンセルの場合30% 前日キャンセルの場合50% 当日キャンセルの場合100%※10名様以上は上記と異なる為お問い合わせ下さい。【お席のみ】（1名あたり）当日キャンセルの場合3000円※飲み放題の場合も同じ規定となります。※10名様以上は上記と異なる為お問い合わせ下さい。※12月全日2時間制になります,東京都足立区千住2-36 河村ビル 2F,北千住駅 徒歩3分 北千住駅から256m,月 16:00 - 23:59 L.O. 23:30 火・水・木・金・祝前日・祝後日 16:00 - 00:00 土・日・祝日 11:00 - 00:00,Non-Info,Non-Info,カード可 （VISA、JCB） 電子マネー可 （iD） QRコード決済可 （PayPay）,,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T4030001155539 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。
3.37,雑賀 北千住駅前店（サイカ）,焼き鳥、もつ焼き、居酒屋,050-5872-2554,予約可,東京都足立区千住2-62 瀬田ビル1Ｆ,常磐線北千住駅徒歩1分 北千住駅から139m,17:00 - 00:00 ■ 定休日年中無休,"￥4,000～￥4,999",～￥999,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可,,
3.36,オステリア ヨシ（osteria YOSHI）,イタリアン、居酒屋、バー,050-5592-9346,予約可,東京都足立区千住3-35-1,ＪＲ常磐線 北千住駅 西口 徒歩3分地下鉄千代田線 北千住駅 2番出口 徒歩3分地下鉄日比谷線 北千住駅 西口 徒歩3分 北千住駅から338m,火・水・木・金・土・日 12:00 - 14:00 17:00 - 22:00 月 定休日 ■ 営業時間不定休あり。■ 定休日月曜,"￥6,000～￥7,999","￥1,000～￥1,999",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,17：00〜チャージ料お一人様¥400頂きます,
3.40,炭火野菜巻串と焼売 博多うずまき 北千住店,居酒屋、焼き鳥、飲茶・点心,050-5869-7730,予約可 【予約の変更について】当日に人数変更があった場合は、減った人数に応じてキャンセル料が発生いたします。,東京都足立区千住3-31,北千住駅より徒歩5分 北千住駅から347m,月・火・水・木・金・祝前日 16:00 - 23:00 L.O. 料理22:00 ドリンク22:30 土・日・祝日 14:00 - 23:00 L.O. 料理22:00 ドリンク22:30 ■ 営業時間年末年始の営業時間について12月29日～1月3日14:00〜23:002024年2月8日～2024年2月9日は店休日となります。■ 定休日定休日：▼年中無休,"￥4,000～￥4,999",Non-Info,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 QRコード決済可 （PayPay）,お通し350円(税抜）頂戴致します。,適格請求書（インボイス）対応の領収書発行が可能 登録番号：T5040001105054 ※最新の登録状況は国税庁インボイス制度適格請求書発行事業者公表サイトをご確認いただくか、店舗にお問い合わせください。
